NodeCount;PathLength;SimCnt;CompileTime;KeyGenerationTime;EncryptionTime;ExecutionTime;DecryptionTime;ReferenceExecutionTime;Mse
40;58;0.35706600010598777;3.711.536.700.029.680;23.095.489.999.832.300;37.268.389.996.825.100;12.614.821.999.704.800;24.292.810.003.316.800;7,66E+05;
40;59;0.40321699998457916;38.117.621.000.310.400;24.533.945.000.257.500;3.720.992.000.125.980;1.242.680.100.040.160;24.358.430.000.575.000;5,52E+05;
40;60;0.36012300006404985;3.630.279.799.926.930;23.171.724.999.883.700;36.869.819.996.354.600;12.472.718.000.026.300;24.631.269.998.280.900;6,33E+05;
40;61;0.27044899979955517;4.270.816.200.005.350;2.289.745.699.999.910;37.040.920.005.892.900;12.464.891.000.490.700;2.509.355.999.791.290;1,42E+06;
40;62;0.43061199994554045;3.786.593.699.987.860;22.786.202.999.668.600;36.852.729.999.736.700;12.494.580.999.373.200;24.596.880.002.718.500;9,23E+05;
40;63;0.40821900074661244;3.804.898.700.036.570;22.899.384.000.083.900;36.997.159.995.735.200;123.914.550.003.974;2.474.138.000.252.420;1,16E+06;
40;64;0.376521999896795;3.863.767.800.066.850;23.179.655.000.603.800;37.397.930.000.224.700;1.250.292.900.022.030;2.432.531.000.522.430;7,27E+05;
40;65;0.3956910004490055;36.981.438.000.111.600;24.340.511.000.445.900;3.836.140.999.737.830;12.507.733.000.347.700;24.896.049.999.370.000;7,50E+05;
40;66;0.3439940001044306;37.817.874.000.211.300;23.526.758.000.116.300;37.292.619.999.789.100;12.490.651.000.007.300;24.884.209.997.253.400;1,22E+07;
40;67;0.4190909994576941;386.365.990.007.107;2.293.029.399.970.690;371.247.100.065.375;12.483.960.000.281.500;2.468.966.999.913.390;1,74E+06;
40;68;0.33873899974423693;3.580.808.300.011.990;2.321.910.399.950.860;36.895.459.998.049.700;1.247.733.599.939.230;24.335.749.994.861.500;1,78E+07;
40;69;0.4044560000693309;3.665.520.799.950.170;22.972.658.000.071.500;3.723.034.999.893.570;1.246.497.099.964.470;24.535.309.994.462.200;8,46E+05;
